dataset,column
player_stats,player_id
player_stats,player_name
player_stats,player_display_name
player_stats,position
player_stats,position_group
player_stats,season
player_stats,week
player_stats,season_type
player_stats,team
player_stats,opponent_team
player_stats,passing_yards
player_stats,passing_tds
player_stats,passing_interceptions
player_stats,sacks_suffered
player_stats,sack_yards_lost
player_stats,sack_fumbles
player_stats,sack_fumbles_lost
player_stats,passing_air_yards
player_stats,passing_yards_after_catch
player_stats,passing_first_downs
player_stats,passing_epa
player_stats,passing_cpoe
player_stats,passing_2pt_conversions
player_stats,rushing_yards
player_stats,rushing_tds
player_stats,rushing_fumbles
player_stats,rushing_fumbles_lost
player_stats,rushing_first_downs
player_stats,rushing_epa
player_stats,rushing_2pt_conversions
player_stats,receptions
player_stats,targets
player_stats,receiving_yards
player_stats,receiving_tds
player_stats,receiving_fumbles
player_stats,receiving_fumbles_lost
player_stats,receiving_air_yards
player_stats,receiving_yards_after_catch
player_stats,receiving_first_downs
player_stats,receiving_epa
player_stats,receiving_2pt_conversions
player_stats,target_share
player_stats,air_yards_share
player_stats,special_teams_tds
player_stats,def_tackles_for_loss_yards
player_stats,def_sacks
player_stats,def_sack_yards
player_stats,def_interceptions
player_stats,def_interception_yards
player_stats,def_tds
player_stats,misc_yards
player_stats,fumble_recovery_yards_own
player_stats,fumble_recovery_yards_opp
player_stats,fumble_recovery_tds
player_stats,penalty_yards
player_stats,punt_return_yards
player_stats,kickoff_return_yards
snap_counts,season
snap_counts,week
snap_counts,player
snap_counts,pfr_player_id
snap_counts,position
snap_counts,team
snap_counts,offense_snaps
snap_counts,offense_pct
snap_counts,defense_snaps
snap_counts,defense_pct
snap_counts,st_snaps
rosters,season
rosters,team
rosters,position
rosters,depth_chart_position
rosters,full_name
rosters,first_name
rosters,last_name
rosters,gsis_id
rosters,ngs_position
rosters,week
rosters,football_name
rosters,gsis_it_id
contracts_flat,player
contracts_flat,position
contracts_flat,guaranteed
contracts_flat,apy_cap_pct
contracts_flat,inflated_guaranteed
contracts_flat,player_page
contracts_flat,gsis_id
contracts_flat,draft_team
contracts_flat,team
contracts_flat,base_salary
contracts_flat,guaranteed_salary
contracts_flat,cap_number
contracts_flat,cap_percent
contracts_flat,cash_paid
contracts_flat,season
contracts_flat,team_abbr
