position_final,cost_tier,players_evaluated,avg_surplus_gap,median_surplus_gap,avg_production_score,avg_cap_number
QB,Low cost,53,7.509433962264151,5.0,38.48442874774403,1.9817044150943395
QB,No/missing cost,3,6.0,6.0,-9.642441628985416,0.0
QB,Mid cost,58,2.3275862068965516,4.0,80.16314395571241,7.018116017241379
QB,High cost,32,-3.34375,-3.0,106.63781700984472,14.7806088125
QB,Premium cost,50,-8.88,-7.5,132.6105364530275,31.6545519
RB,No/missing cost,6,8.166666666666666,6.5,26.90606572045292,0.0
RB,Low cost,234,4.02991452991453,4.0,61.8711510953831,1.6182500854700854
RB,Mid cost,54,-12.518518518518519,-9.0,93.82566141861898,6.258957
RB,High cost,15,-21.066666666666666,-16.0,84.39249225170538,12.578387733333333
TE,Low cost,99,6.737373737373737,7.0,64.49116065050166,1.9761377373737372
TE,No/missing cost,3,4.333333333333333,5.0,25.350846196328934,0.0
TE,Mid cost,60,-7.1,-7.0,72.80651995900898,6.525244900000001
TE,High cost,23,-11.043478260869565,-13.5,82.670026125773,13.706880695652174
WR,No/missing cost,7,22.571428571428573,17.0,42.72019055447412,0.0
WR,Low cost,289,12.193771626297577,12.0,73.33221398023909,1.7893884740484431
WR,Mid cost,123,-13.130081300813009,-9.0,100.52591409456424,6.237330715447155
WR,Premium cost,16,-26.125,-19.5,118.94001119076285,24.56489925
WR,High cost,58,-28.43103448275862,-24.0,104.47758177957506,13.781610948275862
