season,position_final,players_evaluated,avg_surplus_gap,best_player_surplus,worst_player_surplus,avg_cap_number
2021,QB,1,24.0,24.0,24.0,1.369358
2021,RB,4,7.625,27.0,-7.0,0.8876904999999999
2021,TE,1,13.0,13.0,13.0,3.687966
2021,WR,3,-1.3333333333333333,47.0,-57.0,2.500183
2022,QB,1,33.0,33.0,33.0,1.64323
2022,RB,1,22.0,22.0,22.0,1.705528
2022,TE,1,9.0,9.0,9.0,3.721732
2022,WR,3,14.666666666666666,26.0,-5.0,3.731966
2023,QB,1,19.0,19.0,19.0,6.154286
2023,RB,2,4.5,11.0,-2.0,1.39914
2023,TE,1,-4.0,-4.0,-4.0,6.261583
2023,WR,2,14.5,18.0,11.0,6.9060005
2024,QB,1,9.0,9.0,9.0,13.5588
2024,RB,1,14.5,14.5,14.5,3.8
2024,TE,1,-13.0,-13.0,-13.0,9.131583
2024,WR,2,7.0,8.0,6.0,9.9791375
2025,QB,1,3.0,3.0,3.0,21.8698
2025,RB,2,-10.5,-7.0,-14.0,3.8925699999999996
2025,TE,1,7.0,7.0,7.0,10.714463
2025,WR,2,2.0,13.0,-9.0,12.5240035
