team,overall_rank,cap_cost_rank,surplus_rank_gap,surplus_value_rank,surplus_tier,offensive_epa_per_play,defensive_epa_allowed_per_play,total_cap_number
SEA,2.5,30.0,27.5,1.0,Strong surplus value,0.0465296857838804,-0.1210297156136934,182.958764
JAX,4.0,28.0,24.0,2.0,Strong surplus value,0.0554126077787703,-0.0591305504914651,206.103936
LA,1.0,24.0,23.0,3.0,Strong surplus value,0.0991979127355643,-0.0460641681390425,214.314002
HOU,7.5,26.0,18.5,4.0,Strong surplus value,-0.0033729857624391,-0.1089609039640654,212.585416
PHI,11.0,29.0,18.0,5.0,Strong surplus value,0.0120602605052318,-0.0366353744344688,190.462693
NE,2.5,20.0,17.5,6.0,Strong surplus value,0.1087053657822008,-0.0355520469553587,221.942268
SF,10.0,23.0,13.0,7.0,Strong surplus value,0.0882946511953177,0.0268952316019106,217.912823
BUF,5.0,13.0,8.0,8.5,Positive value,0.1191732142813164,0.0236507640142831,236.668677
NO,23.0,31.0,8.0,8.5,Positive value,-0.0963807931438359,-0.0270059466493244,164.580283
DEN,7.5,14.0,6.5,10.0,Positive value,0.0294830048002571,-0.0368900153629067,236.500716
GB,12.5,17.0,4.5,11.0,Positive value,0.0932778417154393,0.0573448931486234,229.137838
DET,6.0,10.0,4.0,12.0,Positive value,0.0692061600702954,0.0155557700752718,245.975013
BAL,16.0,18.0,2.0,13.0,Fair value,0.0449935444153361,0.026523868136913,228.844106
MIA,26.0,27.0,1.0,14.0,Fair value,0.0071868436445896,0.0689653150766197,208.732411
NYJ,32.0,32.0,0.0,15.5,Fair value,-0.0540134385017928,0.1206613388969867,157.09901200000002
CLE,21.0,21.0,0.0,15.5,Fair value,-0.1590413631861189,-0.072476247901449,220.473423
TB,19.5,19.0,-0.5,17.0,Fair value,-0.0019013205096231,0.0207141635057187,225.436766
LAC,14.0,11.0,-3.0,18.5,Fair value,-0.0134803560296661,-0.0385115910241557,240.681183
LV,28.0,25.0,-3.0,18.5,Fair value,-0.1549649821540229,0.0248001488373654,213.575682
DAL,19.5,16.0,-3.5,20.0,Fair value,0.100051070237834,0.1378001913651114,229.557212
MIN,16.0,12.0,-4.0,21.0,Negative value,-0.0717755152528205,-0.0736898754781868,238.804877
KC,9.0,4.0,-5.0,22.0,Negative value,0.0387138120621737,0.0119704556266467,261.876715
TEN,31.0,22.0,-9.0,23.0,Negative value,-0.1065220022488295,0.0645808073277978,220.020524
PIT,18.0,8.0,-10.0,24.0,Major underperformance,0.0371795227165406,0.0253114473029818,247.393608
IND,12.5,2.0,-10.5,25.0,Major underperformance,0.0857988499361268,0.0316299310080312,270.34778
CAR,28.0,15.0,-13.0,26.0,Major underperformance,-0.0177242183122128,0.0465427657966116,230.634058
ATL,22.0,7.0,-15.0,27.5,Major underperformance,-0.0169876649609256,0.0236116721762114,253.484185
CHI,16.0,1.0,-15.0,27.5,Major underperformance,0.0532102687539926,0.0292579786246347,270.883472
NYG,24.5,6.0,-18.5,29.0,Major underperformance,0.0262978921687619,0.0697513789142866,253.487985
WAS,28.0,9.0,-19.0,30.0,Major underperformance,0.0243398653800786,0.1081833730951951,246.328796
CIN,24.5,5.0,-19.5,31.0,Major underperformance,0.0324111265852845,0.0997838022655404,256.886838
ARI,30.0,3.0,-27.0,32.0,Major underperformance,-0.0209284462291257,0.0907965924907692,262.299165
