season,position_final,estimated_contract_stage,players,avg_surplus_gap,avg_cap_number,avg_production_score
2021,QB,possible_fifth_year_option,1,15.0,7.433381,267.55589782933174
2021,QB,undrafted_or_unmatched,2,7.5,1.3900000000000001,18.735438807413253
2021,QB,rookie_contract,15,3.1333333333333333,5.8872696,82.8283699512396
2021,QB,second_contract_or_later,18,-4.277777777777778,16.728039111111112,105.24231235348971
2021,RB,undrafted_or_unmatched,7,13.142857142857142,1.856223142857143,79.88003854367618
2021,RB,rookie_contract,33,4.545454545454546,1.7869304848484848,66.63724717492116
2021,RB,possible_fifth_year_option,2,-2.0,5.07475,97.61660125599504
2021,RB,second_contract_or_later,26,-9.153846153846153,3.2770688076923076,57.20599273977895
2021,TE,rookie_contract,15,9.066666666666666,2.425891733333333,78.6783159638953
2021,TE,undrafted_or_unmatched,6,-5.083333333333333,2.6101111666666665,33.501818563248065
2021,TE,second_contract_or_later,13,-6.115384615384615,5.5203293076923075,73.5381972214865
2021,TE,possible_fifth_year_option,2,-17.0,6.013,47.13942173014769
2021,WR,rookie_contract,50,12.06,1.96561954,86.71817475331258
2021,WR,undrafted_or_unmatched,19,3.0526315789473686,2.642944789473684,68.04683095584043
2021,WR,second_contract_or_later,31,-22.35483870967742,7.875155548387096,93.29124621595422
2021,WR,possible_fifth_year_option,2,-36.0,14.173333,107.11674479620208
2022,QB,rookie_contract,13,8.692307692307692,5.900426461538462,96.67081975226814
2022,QB,undrafted_or_unmatched,2,3.0,2.235139,8.453383850683197
2022,QB,possible_fifth_year_option,3,-2.0,19.415426999999998,152.1582761462249
2022,QB,second_contract_or_later,21,-5.428571428571429,16.306862666666667,71.08639301070014
2022,RB,rookie_contract,28,5.964285714285714,1.633656,66.8992356471796
2022,RB,undrafted_or_unmatched,9,-4.222222222222222,2.0628408888888887,48.402862518746275
2022,RB,second_contract_or_later,20,-6.5,5.0105868000000005,73.7051789557298
2022,RB,possible_fifth_year_option,2,-21.5,6.4235,68.97660646921251
2022,TE,undrafted_or_unmatched,2,7.5,2.0725,59.642098455143355
2022,TE,rookie_contract,14,3.0,1.815544214285714,47.88180634207442
2022,TE,possible_fifth_year_option,1,1.0,3.476466,60.43415308592695
2022,TE,second_contract_or_later,17,-3.7058823529411766,6.833383647058823,76.03113853695957
2022,WR,rookie_contract,46,12.282608695652174,2.7057338260869566,87.85309304157374
2022,WR,undrafted_or_unmatched,11,3.0,3.198351090909091,66.55548204082596
2022,WR,possible_fifth_year_option,1,-2.0,6.11,102.78079357358482
2022,WR,second_contract_or_later,41,-14.951219512195122,6.7645833658536585,81.48272176299504
2023,QB,undrafted_or_unmatched,3,9.0,0.963889,20.66285782592925
2023,QB,rookie_contract,18,1.7777777777777777,5.5795895,48.053245153405996
2023,QB,second_contract_or_later,18,-3.2777777777777777,16.24690288888889,90.10849382536622
2023,QB,possible_fifth_year_option,1,-11.0,16.007,34.7614152724422
2023,RB,undrafted_or_unmatched,7,11.428571428571429,2.289086857142857,68.35317086147604
2023,RB,rookie_contract,31,5.774193548387097,1.7255888387096774,62.49403314483407
2023,RB,second_contract_or_later,21,-10.285714285714286,4.783090571428572,63.170592584343524
2023,RB,possible_fifth_year_option,1,-43.0,11.791,36.257753229205406
2023,TE,rookie_contract,15,7.0,2.2731845333333336,66.81322038262947
2023,TE,undrafted_or_unmatched,4,-0.5,2.6528055,52.12758437673709
2023,TE,possible_fifth_year_option,2,-4.5,5.920999999999999,79.49867877222783
2023,TE,second_contract_or_later,16,-5.875,7.569258125,72.30596052462225
2023,WR,rookie_contract,46,16.08695652173913,2.615026434782609,90.76242730531881
2023,WR,undrafted_or_unmatched,9,1.1666666666666667,2.7398203333333333,64.534605526786
2023,WR,second_contract_or_later,38,-18.223684210526315,9.730066763157893,94.59711055612588
2023,WR,possible_fifth_year_option,1,-58.0,13.413,47.87540202092539
2024,QB,rookie_contract,14,4.142857142857143,5.336568285714286,57.51148495333274
2024,QB,possible_fifth_year_option,4,1.5,19.7948795,172.10266211518328
2024,QB,second_contract_or_later,21,-3.0952380952380953,20.274085476190475,108.97449443813719
2024,QB,undrafted_or_unmatched,1,-5.0,2.875,-10.941080926442304
2024,RB,rookie_contract,27,6.0,1.9965095925925926,80.70447387939511
2024,RB,undrafted_or_unmatched,8,3.0,1.432479125,50.39385734107489
2024,RB,second_contract_or_later,20,-9.3,5.0131543999999995,83.82292115604182
2024,TE,rookie_contract,15,8.066666666666666,2.407418,74.32634422544159
2024,TE,undrafted_or_unmatched,1,0.0,3.5,65.77057071342156
2024,TE,second_contract_or_later,20,-6.05,7.148045399999999,73.94121980890938
2024,WR,rookie_contract,53,14.132075471698114,2.8111077358490566,93.17486805519914
2024,WR,undrafted_or_unmatched,11,3.9545454545454546,3.5988383636363634,64.68916412215385
2024,WR,possible_fifth_year_option,4,-5.125,6.946899999999999,123.67548649213452
2024,WR,second_contract_or_later,34,-23.147058823529413,10.448431970588235,79.52337899574425
2025,QB,possible_fifth_year_option,3,5.333333333333333,9.186,93.7937477669498
2025,QB,rookie_contract,14,5.142857142857143,6.1121595,76.5142537298476
2025,QB,second_contract_or_later,21,-4.190476190476191,27.56517904761905,112.38127432569941
2025,RB,rookie_contract,33,6.045454545454546,2.0526804545454547,69.63565242848613
2025,RB,undrafted_or_unmatched,7,1.9285714285714286,1.7508572857142857,52.87016439545117
2025,RB,possible_fifth_year_option,1,0.0,6.143,108.11567894314388
2025,RB,second_contract_or_later,21,-10.142857142857142,6.053756428571428,79.15978926966189
2025,TE,undrafted_or_unmatched,2,10.0,3.1375,80.14123572434814
2025,TE,rookie_contract,19,9.210526315789474,2.875450263157895,78.08871187294766
2025,TE,possible_fifth_year_option,1,3.0,10.878,107.98395235566966
2025,TE,second_contract_or_later,17,-11.647058823529411,10.90275305882353,67.19583540549819
2025,WR,rookie_contract,53,11.358490566037736,2.7390249811320757,82.16854002513284
2025,WR,possible_fifth_year_option,3,5.666666666666667,12.888962,140.2802302228601
2025,WR,undrafted_or_unmatched,5,-2.2,2.0298666,45.15611198288789
2025,WR,second_contract_or_later,28,-22.5,11.389997142857142,82.86083410389358
