group,position_final,players,appeared_next_year,hits,avg_surplus_gap,avg_next_surplus_gap,avg_production_score,avg_next_production_score,appearance_rate,hit_rate
all_rookie_contract_baseline,QB,69,57,38,3.8260869565217392,2.8421052631578947,81.39808982836561,110.04335119927772,0.8260869565217391,0.5507246376811594
all_rookie_contract_baseline,RB,124,91,60,4.67741935483871,0.8351648351648352,69.01603020811751,76.70255875994638,0.7338709677419355,0.4838709677419355
all_rookie_contract_baseline,TE,64,49,36,5.703125,3.6530612244897958,66.89568517905023,74.81139065120564,0.765625,0.5625
all_rookie_contract_baseline,WR,203,153,111,12.660098522167488,7.372549019607843,90.39449414632361,102.36457127645895,0.7536945812807881,0.5467980295566502
model_candidates,QB,29,27,18,15.620689655172415,6.518518518518518,159.87286393273828,133.13162454481812,0.9310344827586207,0.6206896551724138
model_candidates,RB,64,53,32,19.109375,4.547169811320755,89.15223937333138,78.10134954971063,0.828125,0.5
model_candidates,TE,33,29,19,15.272727272727273,4.275862068965517,87.76907485735235,77.77331581424124,0.8787878787878788,0.5757575757575758
model_candidates,WR,126,106,77,31.246031746031747,11.971698113207546,114.0608849886468,107.45399279099475,0.8412698412698413,0.6111111111111112
not_flagged_baseline,QB,40,30,20,-4.725,-0.4666666666666667,24.503878602695433,89.26390518829136,0.75,0.5
not_flagged_baseline,RB,60,38,28,-10.716666666666667,-4.342105263157895,47.537407098556045,74.75161371106468,0.6333333333333333,0.4666666666666667
not_flagged_baseline,TE,31,20,17,-4.483870967741935,2.75,44.675625198922184,70.516599164804,0.6451612903225806,0.5483870967741935
not_flagged_baseline,WR,77,47,34,-17.753246753246753,-3.0,51.66767276797656,90.8863014777186,0.6103896103896104,0.44155844155844154
